"","geneNames","geneIDs","transcriptNames","feature","id","fc","pval","qval","de"
"159206","DZIP3","CHM13_G0039386","CHM13_T0156226","transcript","159206",0.325443374552941,0.0300383590776341,0.694876725283834,-1.61952155106127
"159547","ATP6V1A","CHM13_G0039476","CHM13_T0156566","transcript","159547",3.11093977714783,0.0282195566323025,0.694876725283834,1.63735046685843
"159627","ZBTB20","CHM13_G0039494","CHM13_T0156647","transcript","159627",0.337764159613971,0.0326144598576497,0.694876725283834,-1.56591184398433
"159942","GTF2E1","CHM13_G0039581","CHM13_T0156959","transcript","159942",0.493533516665974,0.026362158305407,0.694876725283834,-1.01878003110571
"160062","KPNA1","CHM13_G0039615","CHM13_T0157080","transcript","160062",3.33598373326718,0.0030941899229403,0.390082705232988,1.7381122540128
"160163","MYLK","CHM13_G0039635","CHM13_T0157181","transcript","160163",2.09016162431595,0.0450697300598859,0.728424302973333,1.06361450478636
"160205","CCDC14","CHM13_G0039640","CHM13_T0157223","transcript","160205",0.288727454545748,0.00482435687469862,0.449431513182664,-1.79221979765711
"160293","HEG1","CHM13_G0039657","CHM13_T0157311","transcript","160293",0.466157540026772,0.0446254441152975,0.728424302973333,-1.10111049235648
"160845","IFT122","CHM13_G0039806","CHM13_T0157863","transcript","160845",2.60059540251178,0.028592313038454,0.694876725283834,1.37884196398911
"161348","PCCB","CHM13_G0039924","CHM13_T0158363","transcript","161348",2.30634597259375,0.0266597243950697,0.694876725283834,1.20560894642689
"161388","SLC35G2","CHM13_G0039933","CHM13_T0158403","transcript","161388",0.36102886628887,0.0431340250826122,0.720706118667531,-1.4698139015786
"161445","CLDN18","CHM13_G0039947","CHM13_T0158460","transcript","161445",0.291002488398668,3.17191214895818e-05,0.131410084561256,-1.78089660503536
"161538","PIK3CB","CHM13_G0039962","CHM13_T0158553","transcript","161538",3.8059047048566,0.0131854467992911,0.615273689684695,1.92823943876591
"162403","IGSF10","CHM13_G0040187","CHM13_T0159418","transcript","162403",0.269868207445474,0.0458502015360801,0.730223923027035,-1.88967306866573
"162572","SLC33A1","CHM13_G0040254","CHM13_T0159587","transcript","162572",2.08088553152582,0.049978843101664,0.743046244134688,1.05719760532208
"162631","METTL15P1","CHM13_G0040271","CHM13_T0159646","transcript","162631",0.442112836589163,0.00518412423042591,0.462586790665548,-1.17751347184923
"162840","MFSD1","CHM13_G0040309","CHM13_T0159855","transcript","162840",2.4943206179463,0.0406642157751416,0.703613576485558,1.31864691993572
"163458","RPL22L1","CHM13_G0040460","CHM13_T0160473","transcript","163458",3.32341307391902,0.0193849947575464,0.674838932137192,1.73266561974005
"163526","FNDC3B","CHM13_G0040478","CHM13_T0160541","transcript","163526",2.26917105946715,0.0214448681821551,0.694334784743427,1.18216536940815
"163547","AC007919.1","CHM13_G0040485","CHM13_T0160562","transcript","163547",0.407398377106503,0.0354146034108587,0.694876725283834,-1.29548786162593
"163887","TTC14","CHM13_G0040589","CHM13_T0160902","transcript","163887",0.21957553527041,0.00906505441162764,0.532034035200849,-2.18721077419747
"164233","LAMP3","CHM13_G0040638","CHM13_T0161248","transcript","164233",0.259112488453661,0.00559656527334218,0.474981771328796,-1.94834954407034
"164300","YEATS2","CHM13_G0040652","CHM13_T0161313","transcript","164300",2.29708574190937,0.0176553155673624,0.661657621580639,1.19980470831305
"164516","EIF4G1","CHM13_G0040685","CHM13_T0161529","transcript","164516",0.215889199867348,0.000618982072939422,0.19101542501202,-2.21163702238173
"164531","EIF4G1","CHM13_G0040685","CHM13_T0161544","transcript","164531",0.404819221398729,0.0265784878137254,0.694876725283834,-1.3046503019938
"164941","EIF4A2","CHM13_G0040745","CHM13_T0161948","transcript","164941",0.466709057750092,0.027078085686272,0.694876725283834,-1.09940462791886
"165611","TNK2","CHM13_G0040904","CHM13_T0162617","transcript","165611",2.84847268849157,0.0089368620983783,0.532034035200849,1.5101885735364
"165872","TM4SF19","CHM13_G0040932","CHM13_T0162878","transcript","165872",6.67846970442614,0.0144816535433232,0.632210863762208,2.73951756336451
"165903","NRROS","CHM13_G0040950","CHM13_T0162909","transcript","165903",2.6139035637816,0.026320305024901,0.694876725283834,1.38620591595336
"166013","DLG1","CHM13_G0040967","CHM13_T0163019","transcript","166013",3.80135667174023,0.00169336292657996,0.300924361201234,1.92651439599961
"166244","ZNF721","CHM13_G0041042","CHM13_T0163246","transcript","166244",0.313261909189582,0.046844657796705,0.736196040013307,-1.6745587377675
"166445","SPON2","CHM13_G0041073","CHM13_T0163447","transcript","166445",4.71017894426216,0.0148045940612547,0.634905235061109,2.23578187026176
"166750","SH3BP2","CHM13_G0041119","CHM13_T0163752","transcript","166750",2.38568824292965,0.0318949019975316,0.694876725283834,1.25440552678602
"166784","MFSD10","CHM13_G0041122","CHM13_T0163786","transcript","166784",3.96522369909105,0.0368085612268449,0.694876725283834,1.9874022582283
"167216","HTRA3","CHM13_G0041232","CHM13_T0164214","transcript","167216",3.01500341687381,0.00946796540261374,0.53933961857494,1.59215963711843
"167396","SLC2A9","CHM13_G0041289","CHM13_T0164327","transcript","167396",0.399579852934808,0.0320310456049202,0.694876725283834,-1.32344425150626
"167574","CPEB2","CHM13_G0041353","CHM13_T0164505","transcript","167574",2.01120837569562,0.0475667824763275,0.738366125102804,1.00806256300022
"167575","CPEB2","CHM13_G0041353","CHM13_T0164509","transcript","167575",0.370416401329269,0.014197581943761,0.627498918040368,-1.43278011509986
"167587","C1QTNF7","CHM13_G0041356","CHM13_T0164518","transcript","167587",0.389367152004493,0.0127856299207826,0.609387795935619,-1.36079691508986
"167606","CC2D2A","CHM13_G0041358","CHM13_T0164536","transcript","167606",0.381065617599089,0.00970795819160752,0.544308918457285,-1.3918886508858
"167827","PACRGL","CHM13_G0041413","CHM13_T0164757","transcript","167827",2.82232795945371,0.00167997463862968,0.300924361201234,1.49688564136758
"167993","PI4K2B","CHM13_G0041449","CHM13_T0164924","transcript","167993",0.469444961358839,0.0346491022983353,0.694876725283834,-1.09097207146884
"168025","SLC34A2","CHM13_G0041459","CHM13_T0164956","transcript","168025",0.0569120337703818,0.000269972440934074,0.147608943382655,-4.13512245419773
"168026","SLC34A2","CHM13_G0041459","CHM13_T0164957","transcript","168026",0.0992466487403557,7.7651254292932e-05,0.131410084561256,-3.33283780215185
"168165","PCDH7","CHM13_G0041507","CHM13_T0165096","transcript","168165",0.392236344986818,0.0400406736107395,0.700983434548937,-1.3502048716907
"168367","FAM114A1","CHM13_G0041573","CHM13_T0165298","transcript","168367",0.371913734901715,0.0326144598576494,0.694876725283834,-1.42696006673124
"168536","N4BP2","CHM13_G0041608","CHM13_T0165467","transcript","168536",2.36983645020874,0.0318564952282012,0.694876725283834,1.24478749768282
"168721","ATP8A1","CHM13_G0041657","CHM13_T0165652","transcript","168721",0.492159817957508,0.0336714173857016,0.694876725283834,-1.02280122010602
"169360","NOA1","CHM13_G0041849","CHM13_T0166274","transcript","169360",2.19525838124136,0.0369089869340873,0.694876725283834,1.13439075452032
"169903","CXCL8","CHM13_G0042073","CHM13_T0166818","transcript","169903",4.6868810605465,0.0379297890517525,0.694876725283834,2.22862818386388
"169911","CXCL1","CHM13_G0042078","CHM13_T0166826","transcript","169911",2.55037542996431,0.0301940833548106,0.694876725283834,1.35070963574302
"170134","SCARB2","CHM13_G0042132","CHM13_T0167050","transcript","170134",3.90041957582226,0.0170258121624638,0.652920221378364,1.9636293258721
"170263","FRAS1","CHM13_G0042174","CHM13_T0167177","transcript","170263",0.447760201329571,0.0391118927804093,0.694876725283834,-1.15920179335189
"170276","ANXA3","CHM13_G0042177","CHM13_T0167189","transcript","170276",0.229864130480407,0.000662342369343927,0.19101542501202,-2.12114673894626
"170553","COPS4","CHM13_G0042242","CHM13_T0167467","transcript","170553",2.34045828348719,0.0454753556322434,0.728424302973333,1.22679105056898
"170575","COQ2","CHM13_G0042248","CHM13_T0167487","transcript","170575",2.09833063375134,0.0110333542174551,0.569232582182054,1.06924202114241
"171385","ADH1B","CHM13_G0042432","CHM13_T0168297","transcript","171385",0.082648718988234,6.30897944187137e-05,0.131410084561256,-3.59686373109978
"171521","NFKB1","CHM13_G0042471","CHM13_T0168433","transcript","171521",2.88605243805043,0.00570788470213723,0.474981771328796,1.52909751307513
"171563","UBE2D3","CHM13_G0042478","CHM13_T0168476","transcript","171563",0.360806390407323,0.00617156644628714,0.479787945774941,-1.47070320383479
"171571","UBE2D3","CHM13_G0042478","CHM13_T0168483","transcript","171571",3.08699651532362,0.0256913886935903,0.694876725283834,1.62620385440488
"171613","SLC9B2","CHM13_G0042486","CHM13_T0168524","transcript","171613",2.95193570991447,0.00183677430348972,0.309968594018037,1.56166130134493
"171762","NPNT","CHM13_G0042524","CHM13_T0168673","transcript","171762",0.295175385196097,0.0487130909169338,0.739203195707992,-1.76035567544077
"171764","NPNT","CHM13_G0042524","CHM13_T0168675","transcript","171764",0.4780485529179,0.0463094930226768,0.733787934005857,-1.06477094216963
"172544","PRDM5","CHM13_G0042727","CHM13_T0169442","transcript","172544",0.479457002699083,0.0275949278264986,0.694876725283834,-1.06052665352135
"173262","ELF2","CHM13_G0042911","CHM13_T0170158","transcript","173262",0.378285764829607,0.031950440679295,0.694876725283834,-1.40245160714966
"173286","NDUFC1","CHM13_G0042921","CHM13_T0170181","transcript","173286",0.427027108392688,0.0326144598576494,0.694876725283834,-1.22760043744835
"173290","NAA15","CHM13_G0042922","CHM13_T0170186","transcript","173290",2.25349331323836,0.0435507824246335,0.721790584757654,1.17216316916924
"173864","RPS3A","CHM13_G0043088","CHM13_T0170759","transcript","173864",0.206923691974689,0.0391118927804092,0.694876725283834,-2.27282925714444
"173917","GATB","CHM13_G0043101","CHM13_T0170812","transcript","173917",2.23820196318516,0.0240124130823536,0.694876725283834,1.1623402231505
"174111","TMEM131L","CHM13_G0043143","CHM13_T0171006","transcript","174111",2.36346664578391,0.0478141016222011,0.738366125102804,1.24090450493279
"174322","PDGFC","CHM13_G0043203","CHM13_T0171217","transcript","174322",3.67140030816626,0.0236140447793596,0.694876725283834,1.87633042610194
"174455","RAPGEF2","CHM13_G0043249","CHM13_T0171350","transcript","174455",0.319394866246947,0.0220388568127159,0.694876725283834,-1.64658697092843
"174567","NACA3P","CHM13_G0043293","CHM13_T0171460","transcript","174567",2.5618374459685,0.0202966648498892,0.682862368254748,1.35717893651671
"174845","GALNT7","CHM13_G0043386","CHM13_T0171738","transcript","174845",2.68987288869746,0.00188683211635809,0.31082200126435,1.42753799910953
"175092","AGA","CHM13_G0043447","CHM13_T0171985","transcript","175092",2.68909013442277,0.00427733416950793,0.429514243697972,1.42711811307817
"175146","MSTRG.4410","CHM13_G0043474","CHM13_T0172038","transcript","175146",0.429502938655338,0.0323171838317728,0.694876725283834,-1.21926009258304
"175199","CDKN2AIP","CHM13_G0043496","CHM13_T0172091","transcript","175199",2.07762793852983,0.0059317039885477,0.475365283926936,1.05493731964273
"175454","UFSP2","CHM13_G0043551","CHM13_T0172346","transcript","175454",2.15079117530898,0.0432528776793303,0.721316997116,1.10486745736388
"175875","SDHA","CHM13_G0043647","CHM13_T0172697","transcript","175875",2.2129879083016,0.0447094841052917,0.728424302973333,1.14599556831878
"175972","ZDHHC11","CHM13_G0043669","CHM13_T0172795","transcript","175972",0.484464758257722,0.0240819405004662,0.694876725283834,-1.04553637235542
"176210","ICE1","CHM13_G0043757","CHM13_T0173037","transcript","176210",2.54717865931337,0.0256568552780789,0.694876725283834,1.34890015390573
"176343","MTRR","CHM13_G0043795","CHM13_T0173166","transcript","176343",2.81578293876404,0.0282583441617741,0.694876725283834,1.4935361247286
"176499","MARCHF6","CHM13_G0043861","CHM13_T0173325","transcript","176499",0.432830749961716,0.0253786695996596,0.694876725283834,-1.20812509747544
